date,fires
2013-05-01,1834.8320675878422
2013-06-01,4142.832067587846
2013-07-01,12629.832067587842
2013-08-01,14622.832067587846
2013-09-01,-13846.167932412154
2013-10-01,-10191.167932412158
2013-11-01,-73.16793241215419
2013-12-01,-8809.167932412158
2014-01-01,-1659.1679324121542
2014-02-01,571.8320675878422
2014-03-01,108.83206758784581
2014-04-01,920.8320675878458
2014-05-01,3294.832067587842
2014-06-01,4330.832067587846
2014-07-01,30329.832067587842
2014-08-01,1217.8320675878458
2014-09-01,-5467.167932412158
2014-10-01,-18887.167932412154
2014-11-01,-6930.167932412154
2014-12-01,-6396.167932412158
2015-01-01,-2273.167932412154
2015-02-01,-353.1679324121578
2015-03-01,378.8320675878458
2015-04-01,158.83206758784218
2015-05-01,3413.832067587846
2015-06-01,2985.832067587846
