,Unnamed: 0,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total,State
14,2012,226,242,472,428,335,387,909,1810,6815,4529,214,529,16896,bahia
15,2013,161,282,441,125,176,228,378,602,2617,1866,248,107,7231,bahia
16,2014,123,84,128,157,201,235,235,606,2472,2515,308,126,7190,bahia
17,2015,240,124,183,122,133,233,300,791,6921,4695,1569,1202,16513,bahia
18,2016,240,340,237,193,240,388,340,727,1729,1312,402,163,6311,bahia
19,2017,150,91,160,91,124,213,234,809,1146,3144,222,66,6450,bahia
20,2018,102,45,126,71,101,190,281,477,1930,1345,169,119,4956,bahia
21,2019,212,432,475,141,142,186,337,542,1896,1783,924,301,7371,bahia
22,2020,164,153,92,98,95,244,341,437,1918,3666,447,257,7912,bahia
23,2021,220,96,530,180,447,367,732,1470,6491,3630,135,61,14359,bahia
24,2022,149,137,233,108,396,632,530,947,2770,3675,99,-,9676,bahia
0,1998,-,-,-,-,-,1,76,95,601,1019,575,277,2644,ceara
1,1999,47,17,30,6,5,16,84,135,132,314,526,396,1708,ceara
2,2000,1,7,10,16,7,16,20,81,130,876,671,389,2224,ceara
3,2001,11,-,-,2,81,38,147,224,808,2051,2461,545,6368,ceara
4,2002,33,76,17,6,10,13,23,136,241,1954,3259,2409,8177,ceara
5,2003,323,10,6,4,7,9,41,133,420,2465,4760,3448,11626,ceara
6,2004,213,11,3,1,7,8,22,69,207,1610,3615,4816,10582,ceara
7,2005,476,41,7,7,2,7,33,71,187,1659,3434,2600,8524,ceara
8,2006,298,31,8,4,-,3,18,80,265,932,2077,2451,6167,ceara
9,2007,428,5,7,5,11,14,35,237,354,1457,2639,2335,7527,ceara
10,2008,230,29,-,-,-,6,13,58,199,1014,2668,3414,7631,ceara
11,2009,464,16,1,-,1,-,9,32,93,526,1978,2327,5447,ceara
12,2010,355,76,46,11,6,21,58,206,383,676,2327,769,4934,ceara
13,2011,39,9,3,1,4,7,24,42,226,478,2062,1903,4798,ceara
14,2012,308,44,13,2,23,33,50,267,512,1102,1165,789,4308,ceara
15,2013,135,55,24,7,9,12,8,36,177,472,986,910,2831,ceara
16,2014,119,9,4,3,4,15,39,133,136,444,761,660,2327,ceara
17,2015,189,20,14,-,17,17,23,118,183,603,1009,965,3158,ceara
18,2016,103,12,6,11,7,32,106,286,335,1241,1373,804,4316,ceara
19,2017,91,10,4,3,6,6,15,98,336,793,953,1171,3486,ceara
20,2018,166,6,8,1,2,17,29,202,429,591,860,723,3034,ceara
21,2019,194,12,3,1,3,9,18,138,460,1373,1324,769,4304,ceara
22,2020,94,8,2,-,3,12,63,209,440,913,1279,956,3979,ceara
23,2021,187,64,13,6,13,25,35,258,411,905,1680,782,4379,ceara
24,2022,37,21,8,1,3,15,37,140,209,793,868,-,2132,ceara
0,1998,-,-,-,-,-,2,17,48,31,3,-,-,101,distrito_federal
1,1999,-,2,-,-,-,3,4,15,12,8,1,-,45,distrito_federal
2,2000,-,-,-,-,2,1,15,9,3,17,-,-,47,distrito_federal
3,2001,-,1,-,-,-,3,22,25,13,-,-,1,65,distrito_federal
4,2002,-,-,-,1,1,7,38,49,41,22,1,1,161,distrito_federal
5,2003,-,1,-,-,1,32,50,43,22,12,-,-,161,distrito_federal
6,2004,-,-,-,2,11,5,46,110,116,22,-,-,312,distrito_federal
7,2005,-,-,-,-,4,4,38,46,25,18,5,-,140,distrito_federal
8,2006,-,-,-,1,9,10,38,64,17,1,-,-,140,distrito_federal
9,2007,1,-,1,3,16,59,87,197,99,22,-,-,485,distrito_federal
10,2008,-,-,2,1,7,11,39,71,56,8,6,-,201,distrito_federal
11,2009,1,-,-,-,15,6,32,37,4,4,-,-,99,distrito_federal
12,2010,1,5,2,8,22,78,100,181,204,10,1,1,613,distrito_federal
13,2011,-,2,-,1,5,18,54,55,135,-,-,-,270,distrito_federal
14,2012,-,-,-,4,-,4,27,51,67,16,-,-,169,distrito_federal
15,2013,-,1,1,-,2,5,25,33,33,3,-,2,105,distrito_federal
16,2014,-,1,1,2,9,6,28,96,67,31,-,-,241,distrito_federal
17,2015,1,-,-,-,2,1,15,53,64,17,2,-,155,distrito_federal
18,2016,-,1,1,4,13,37,78,35,51,8,1,-,229,distrito_federal
19,2017,1,-,-,1,6,5,28,118,77,51,-,-,287,distrito_federal
20,2018,-,-,-,-,2,1,29,15,41,-,-,-,88,distrito_federal
21,2019,4,1,-,-,-,6,30,29,116,27,-,-,213,distrito_federal
22,2020,2,2,-,5,5,11,25,22,83,39,1,1,196,distrito_federal
23,2021,-,-,-,4,9,10,38,50,141,7,-,-,259,distrito_federal
24,2022,-,-,6,4,14,17,60,55,85,10,-,-,251,distrito_federal
0,1998,-,-,-,-,-,6,37,38,110,20,4,5,220,espirito_santo
1,1999,33,10,8,2,16,6,9,60,64,23,9,-,240,espirito_santo
2,2000,5,5,1,3,2,9,16,26,14,88,3,3,175,espirito_santo
3,2001,1,5,2,2,8,9,12,31,38,19,3,1,131,espirito_santo
4,2002,2,4,4,2,5,18,16,76,76,151,26,22,402,espirito_santo
5,2003,12,14,46,31,16,76,91,142,276,185,55,32,976,espirito_santo
6,2004,-,8,2,10,4,2,14,31,77,53,56,10,267,espirito_santo
7,2005,7,1,11,9,7,9,15,30,10,84,3,13,199,espirito_santo
8,2006,13,53,26,6,16,35,57,90,103,18,4,10,431,espirito_santo
9,2007,3,5,16,16,23,34,70,96,92,172,185,45,757,espirito_santo
10,2008,20,23,7,6,9,25,36,57,95,116,9,9,412,espirito_santo
11,2009,3,13,14,6,8,16,28,21,62,14,23,31,239,espirito_santo
12,2010,55,27,5,13,11,25,6,39,65,34,3,12,295,espirito_santo
13,2011,6,49,5,8,7,15,27,83,115,35,8,6,364,espirito_santo
14,2012,-,27,38,76,25,21,45,17,39,66,7,23,384,espirito_santo
15,2013,14,21,18,19,13,24,29,58,28,32,11,8,275,espirito_santo
16,2014,11,16,15,8,15,8,11,36,52,82,17,25,296,espirito_santo
17,2015,77,59,23,25,11,16,25,28,198,290,131,57,940,espirito_santo
18,2016,37,19,103,49,42,45,38,75,112,60,7,12,599,espirito_santo
19,2017,14,7,9,7,9,23,3,26,31,46,12,-,187,espirito_santo
20,2018,6,1,9,7,4,12,41,9,51,36,11,18,205,espirito_santo
21,2019,25,32,22,21,10,19,78,35,171,73,123,13,622,espirito_santo
22,2020,10,11,6,8,11,51,34,25,131,82,10,22,401,espirito_santo
23,2021,44,13,45,25,47,26,85,92,123,38,9,2,549,espirito_santo
24,2022,11,5,25,21,26,53,57,85,87,93,4,-,467,espirito_santo
0,1998,-,-,-,-,-,172,512,2216,2870,1036,48,13,6867,goias
1,1999,14,334,1,25,98,252,311,1198,1898,743,111,20,5005,goias
2,2000,10,11,4,16,58,222,332,925,1294,906,26,6,3810,goias
3,2001,28,9,10,49,85,209,370,788,1861,477,15,18,3919,goias
4,2002,12,9,48,78,171,303,792,1498,4412,1665,273,118,9379,goias
5,2003,13,55,34,127,265,855,867,975,1978,1318,212,175,6874,goias
6,2004,15,14,59,84,313,515,852,1618,3544,1548,356,94,9012,goias
7,2005,30,110,46,150,269,248,536,970,1565,2018,169,17,6128,goias
8,2006,104,28,42,61,192,298,502,948,1630,270,254,58,4387,goias
9,2007,48,20,104,83,349,690,925,2948,4978,2169,240,85,12639,goias
10,2008,33,25,23,64,200,209,552,987,1464,1425,195,63,5240,goias
11,2009,47,45,60,37,136,201,481,638,709,413,111,42,2920,goias
12,2010,60,100,96,144,280,723,1224,3336,5906,1418,79,53,13419,goias
13,2011,40,56,26,111,161,333,600,1549,2250,539,76,25,5766,goias
14,2012,22,29,71,116,123,254,556,899,2334,1450,64,113,6031,goias
15,2013,43,67,74,61,187,202,356,527,735,567,162,69,3050,goias
16,2014,60,34,54,117,197,302,424,1201,1568,1728,160,52,5897,goias
17,2015,105,43,48,58,117,263,320,876,2033,1607,490,147,6107,goias
18,2016,27,69,107,152,210,261,815,1038,1571,488,115,59,4912,goias
19,2017,46,64,91,58,138,308,433,1109,2155,1858,125,43,6428,goias
20,2018,54,41,113,74,181,183,405,518,1070,345,36,90,3110,goias
21,2019,129,88,138,83,134,217,403,698,4149,873,160,88,7160,goias
22,2020,60,92,124,156,150,314,402,964,1825,1622,229,70,6008,goias
23,2021,63,89,86,110,255,401,627,1056,2634,576,71,52,6020,goias
24,2022,69,96,120,124,415,394,553,975,1151,752,91,-,4740,goias
0,1998,-,-,-,-,-,78,276,1177,3933,5140,2235,1396,14235,maranhao
1,1999,54,6,17,4,3,32,258,897,1739,3207,1494,1001,8712,maranhao
2,2000,19,11,6,6,28,94,233,839,1364,2654,2267,1462,8983,maranhao
3,2001,29,1,-,2,21,101,549,2035,4550,6597,3521,1290,18696,maranhao
4,2002,49,116,16,28,71,227,1675,3789,5543,7152,8421,3377,30464,maranhao
5,2003,575,13,24,112,236,865,2675,2407,7799,8588,7536,3718,34548,maranhao
6,2004,338,24,43,98,324,818,1677,2426,6807,5386,10348,5296,33585,maranhao
7,2005,674,73,19,99,108,662,1984,3118,7805,8704,6670,3775,33691,maranhao
8,2006,386,36,19,20,89,520,1416,2416,3782,4270,6879,3469,23302,maranhao
9,2007,634,21,89,76,294,1477,2786,10780,11245,9694,5191,2478,44765,maranhao
10,2008,203,59,6,40,101,687,1542,1777,3575,5018,5728,3386,22122,maranhao
11,2009,400,30,39,27,25,312,1182,2181,3107,2839,6505,2485,19132,maranhao
12,2010,457,104,129,143,300,1225,2601,6826,11813,4095,6082,2502,36277,maranhao
13,2011,195,14,43,46,98,689,1159,2192,5086,3171,4038,2584,19315,maranhao
14,2012,461,84,54,114,370,987,3693,10519,7376,5911,2644,2086,34299,maranhao
15,2013,316,72,45,83,132,603,1332,2374,4312,3221,2368,2597,17455,maranhao
16,2014,291,17,40,66,140,786,2027,5338,4357,5574,3710,2329,24675,maranhao
17,2015,458,78,41,103,184,850,1616,5411,5502,6387,4159,3647,28436,maranhao
18,2016,395,268,70,103,186,693,2182,3849,3109,5617,3826,1491,21789,maranhao
19,2017,178,44,32,90,157,644,1973,3001,9243,4538,2706,2970,25576,maranhao
20,2018,281,15,93,50,203,738,1457,2833,3177,1832,2309,904,13892,maranhao
21,2019,712,74,57,63,139,749,1078,3366,3667,3645,3158,1813,18521,maranhao
22,2020,86,72,39,93,231,757,1871,2162,4403,3394,2481,1228,16817,maranhao
23,2021,228,128,62,96,471,979,1507,3322,2469,3069,2502,1244,16077,maranhao
24,2022,185,92,44,66,454,917,2170,3473,4166,4495,1631,-,17693,maranhao
0,1998,-,-,-,-,-,2200,3711,15404,10360,2705,182,76,34638,mato_grosso
1,1999,39,28,18,76,730,2201,3926,18563,11726,6111,842,47,44307,mato_grosso
2,2000,44,35,60,59,1192,4358,1335,6059,6251,6063,502,98,26056,mato_grosso
3,2001,44,54,24,309,1191,6641,1554,7755,8487,6544,373,37,33013,mato_grosso
4,2002,172,22,103,641,2522,7879,6932,16911,18707,10863,3247,1127,69126,mato_grosso
