"Date","Price","Open","High","Low","Vol.","Change %"
"01/01/2012","124.85","122.00","126.38","119.75","420.19K","1.59%"
"12/01/2011","122.90","121.95","125.58","116.58","99.70K","1.07%"
"11/01/2011","121.60","118.58","125.38","117.60","441.30K","1.50%"
"10/01/2011","119.80","122.33","123.17","118.80","140.52K","-1.92%"
"09/01/2011","122.15","113.95","122.50","113.50","460.77K","8.10%"
"08/01/2011","113.00","112.78","118.33","111.95","114.83K","0.34%"
"07/01/2011","112.62","110.83","115.55","109.20","427.27K","-0.12%"
"06/01/2011","112.75","103.58","114.00","100.75","121.27K","8.67%"
"05/01/2011","103.75","113.35","113.97","101.62","505.95K","-11.36%"
"04/01/2011","117.05","121.10","122.88","115.58","102.72K","-3.70%"
"03/01/2011","121.55","112.97","121.70","110.50","539.15K","10.25%"
"02/01/2011","110.25","109.00","114.55","107.05","127.93K","1.19%"
"01/01/2011","108.95","108.35","112.38","105.80","460.46K","0.97%"
"12/01/2010","107.90","103.40","108.15","100.88","107.53K","4.68%"
"11/01/2010","103.08","98.80","103.40","97.10","417.40K","4.28%"
"10/01/2010","98.85","96.72","102.40","94.50","97.83K","2.22%"
"09/01/2010","96.70","97.25","100.00","95.72","451.80K","-0.57%"
"08/01/2010","97.25","92.78","100.20","91.50","93.77K","4.96%"
"07/01/2010","92.65","90.00","93.97","89.40","343.29K","1.53%"
"06/01/2010","91.25","90.35","92.75","89.25","104.95K","0.80%"
"05/01/2010","90.53","94.62","97.20","89.33","493.20K","-9.40%"
"04/01/2010","99.92","96.58","100.20","96.00","135.74K","3.49%"
"03/01/2010","96.55","92.03","98.70","91.55","416.87K","6.92%"
"02/01/2010","90.30","85.83","93.00","85.22","113.30K","5.24%"
"01/01/2010","85.80","86.50","87.95","84.75","346.11K","-0.23%"
"12/01/2009","86.00","83.15","86.25","78.70","76.67K","3.37%"
"11/01/2009","83.20","85.80","86.80","82.65","348.41K","1.90%"
"10/01/2009","81.65","85.70","86.75","81.53","104.18K","-4.61%"
"09/01/2009","85.60","86.83","87.92","84.70","310.80K","3.54%"
"08/01/2009","82.67","84.47","86.10","81.65","89.63K","-2.40%"
"07/01/2009","84.70","85.30","86.97","82.95","299.23K","2.63%"
"06/01/2009","82.53","81.53","85.40","79.17","70.88K","1.48%"
"05/01/2009","81.33","82.00","83.90","80.85","278.98K","-7.10%"
"04/01/2009","87.55","83.72","88.90","83.47","106.75K","4.33%"
"03/01/2009","83.92","85.45","86.25","81.95","308.21K","1.68%"
"02/01/2009","82.53","82.50","85.45","79.42","88.70K","0.65%"
"01/01/2009","82.00","86.08","89.10","80.35","322.19K","-2.92%"
"12/01/2008","84.47","86.45","87.50","80.62","84.22K","-3.33%"
"11/01/2008","87.38","93.20","94.80","82.88","276.84K","-6.79%"
"10/01/2008","93.75","99.12","99.38","87.00","115.79K","-5.21%"
"09/01/2008","98.90","104.05","107.05","97.95","365.25K","-2.83%"
"08/01/2008","101.78","98.55","103.45","98.33","104.85K","3.43%"
"07/01/2008","98.40","103.65","104.70","96.75","381.91K","-2.19%"
"06/01/2008","100.60","96.08","101.50","93.00","92.29K","4.22%"
"05/01/2008","96.53","93.30","97.10","91.03","383.49K","5.32%"
"04/01/2008","91.65","87.50","94.00","85.78","83.91K","4.84%"
"03/01/2008","87.42","94.10","94.10","86.40","382.54K","-5.97%"
"02/01/2008","92.97","91.00","93.90","89.70","52.82K","2.28%"
