"Date","Price","Open","High","Low","Vol.","Change %"
"06/01/2012","170.10","160.65","168.60","148.20","185.62K","5.88%"
"05/01/2012","160.65","176.00","182.90","160.15","128.81K","-9.72%"
"04/01/2012","177.95","182.50","190.45","171.90","220.03K","-2.47%"
"03/01/2012","182.45","203.15","203.15","174.45","130.33K","-10.19%"
"02/01/2012","203.15","214.50","222.45","195.90","157.11K","-5.53%"
"01/01/2012","215.05","226.85","238.50","213.10","245.68K","-5.20%"
"12/01/2011","226.85","233.20","235.70","213.40","45.15K","-2.97%"
"11/01/2011","233.80","226.40","240.00","220.45","178.00K","3.02%"
"10/01/2011","226.95","228.50","252.50","219.80","261.45K","-0.85%"
"09/01/2011","228.90","285.85","291.75","228.50","126.47K","-20.82%"
"08/01/2011","289.10","240.60","286.10","231.35","197.47K","20.68%"
"07/01/2011","239.55","263.20","269.70","237.20","92.75K","-9.72%"
"06/01/2011","265.35","264.25","273.80","239.65","179.58K","0.28%"
"05/01/2011","264.60","298.35","306.25","258.60","91.67K","-11.61%"
"04/01/2011","299.35","265.50","301.05","254.05","189.00K","13.33%"
"03/01/2011","264.15","273.70","294.70","257.80","87.00K","-2.78%"
"02/01/2011","271.70","245.55","277.00","245.35","168.26K","10.99%"
"01/01/2011","244.80","239.00","250.75","226.50","252.46K","1.79%"
"12/01/2010","240.50","200.20","242.25","200.00","51.96K","19.68%"
"11/01/2010","200.95","202.80","218.70","192.80","221.39K","-1.23%"
"10/01/2010","203.45","183.65","204.60","171.60","249.11K","11.14%"
"09/01/2010","183.05","181.40","194.85","178.25","86.65K","3.54%"
"08/01/2010","176.80","175.60","186.75","163.50","211.08K","0.28%"
"07/01/2010","176.30","164.30","178.75","155.00","97.70K","7.37%"
"06/01/2010","164.20","134.00","175.00","132.55","221.45K","22.31%"
"05/01/2010","134.25","136.20","138.40","130.25","89.33K","-0.70%"
"04/01/2010","135.20","136.55","139.85","128.60","186.24K","-0.70%"
"03/01/2010","136.15","129.65","139.05","126.55","99.92K","5.50%"
"02/01/2010","129.05","132.00","135.95","126.60","204.33K","-2.01%"
"01/01/2010","131.70","136.00","146.95","131.60","226.61K","-3.13%"
"12/01/2009","135.95","142.50","149.20","135.80","56.87K","-4.09%"
"11/01/2009","141.75","135.00","144.00","130.00","209.00K","4.61%"
"10/01/2009","135.50","127.50","145.40","125.90","230.09K","6.03%"
"09/01/2009","127.80","120.70","138.30","119.20","69.49K","5.71%"
"08/01/2009","120.90","128.15","138.60","118.60","152.84K","-5.44%"
